category_id,club_id,start_date,end_date,nbr_participants
111,272,3/1/2020,12/1/2020,7
120,272,3/1/2020,12/1/2020,0
146,272,3/1/2020,12/1/2020,2
157,272,3/1/2020,12/1/2020,6
158,272,3/1/2020,12/1/2020,3
159,272,3/1/2020,12/1/2020,4
121,272,3/1/2020,12/1/2020,0
7,300,21/02/2020,1/3/2020,26
8,300,21/02/2020,1/3/2020,24
9,300,21/02/2020,1/3/2020,32
10,300,21/02/2020,1/3/2020,24
11,300,21/02/2020,1/3/2020,22
65,300,21/02/2020,1/3/2020,17
66,300,21/02/2020,1/3/2020,10
67,300,21/02/2020,1/3/2020,10
14,300,21/02/2020,1/3/2020,0
15,300,21/02/2020,1/3/2020,14
16,300,21/02/2020,1/3/2020,17
17,300,21/02/2020,1/3/2020,9
18,300,21/02/2020,1/3/2020,12
20,300,21/02/2020,1/3/2020,6
21,300,21/02/2020,1/3/2020,3
22,300,21/02/2020,1/3/2020,4
23,300,21/02/2020,1/3/2020,0
32,300,21/02/2020,1/3/2020,19
33,300,21/02/2020,1/3/2020,22
35,300,21/02/2020,1/3/2020,16
36,300,21/02/2020,1/3/2020,20
38,300,21/02/2020,1/3/2020,19
83,300,21/02/2020,1/3/2020,7
84,300,21/02/2020,1/3/2020,8
86,300,21/02/2020,1/3/2020,7
87,300,21/02/2020,1/3/2020,9
89,300,21/02/2020,1/3/2020,8
170,300,21/02/2020,1/3/2020,5
171,300,21/02/2020,1/3/2020,9
108,300,21/02/2020,1/3/2020,2
109,300,21/02/2020,1/3/2020,13
110,300,21/02/2020,1/3/2020,8
111,300,21/02/2020,1/3/2020,3
135,300,21/02/2020,1/3/2020,2
156,300,21/02/2020,1/3/2020,2
157,300,21/02/2020,1/3/2020,8
7,94,30/07/2020,9/8/2020,17
8,94,30/07/2020,9/8/2020,12
9,94,30/07/2020,9/8/2020,13
10,94,30/07/2020,9/8/2020,13
11,94,30/07/2020,9/8/2020,24
58,94,30/07/2020,9/8/2020,20
64,94,30/07/2020,9/8/2020,8
65,94,30/07/2020,9/8/2020,6
66,94,30/07/2020,9/8/2020,3
67,94,30/07/2020,9/8/2020,3
14,94,30/07/2020,9/8/2020,2
15,94,30/07/2020,9/8/2020,5
16,94,30/07/2020,9/8/2020,5
17,94,30/07/2020,9/8/2020,4
