tournament_id,date,status,round
2015,22/02/2020,completed,1_8
1386,,completed,1_8
2503,6/9/2020,completed,1_32
2503,4/9/2020,completed,1_64
1849,31/08/2020,completed,1_16
1849,30/08/2020,completed,1_32
2280,22/08/2020,completed,1_2
2280,21/08/2020,completed,1_4
2280,17/08/2020,completed,1_8
2280,15/08/2020,completed,1_16
1534,14/08/2020,completed,1_4
1534,13/08/2020,completed,1_8
1534,10/8/2020,completed,1_16
2553,9/8/2020,completed,final
2553,8/8/2020,retirement,1_2
2553,4/8/2020,completed,1_8
2553,31/07/2020,completed,1_16
2553,,WO,1_4
1524,13/08/2020,completed,1_4
1524,12/8/2020,completed,1_8
1524,9/8/2020,completed,1_16
1524,7/8/2020,completed,1_32
1432,29/12/2019,completed,final
1432,28/12/2019,completed,1_2
1432,23/12/2019,completed,1_8
1432,,WO,1_4
2601,26/08/2020,completed,1_8
2601,23/08/2020,completed,1_16
2601,22/08/2020,completed,1_32
1485,15/08/2020,completed,1_8
1485,14/08/2020,completed,1_16
2123,12/7/2020,completed,1_8
2123,10/7/2020,completed,1_16
2339,2/9/2020,completed,1_16
2340,2/9/2020,completed,1_8
2339,31/08/2020,completed,1_32
2238,30/08/2020,completed,final
2339,29/08/2020,retirement,1_64
2238,29/08/2020,completed,1_2
2238,27/08/2020,completed,1_4
2238,26/08/2020,completed,1_8
2238,23/08/2020,completed,1_16
1811,6/9/2020,completed,1_8
2610,23/08/2020,completed,1_4
2610,22/08/2020,completed,1_8
2643,16/07/2020,completed,1_4
2643,11/7/2020,completed,1_8
2332,22/02/2020,completed,1_32
1622,,WO,1_16
2082,20/07/2020,completed,1_32
2061,25/07/2020,completed,1_2
2672,16/08/2020,completed,final
2722,15/08/2020,completed,final
2721,14/08/2020,completed,1_2
2722,13/08/2020,completed,1_2
2672,12/8/2020,completed,1_2
2721,11/8/2020,completed,1_4
2722,10/8/2020,completed,1_4
2702,14/08/2020,completed,1_2
2702,10/8/2020,completed,1_4
2737,20/09/2020,completed,final
2736,19/09/2020,completed,1_2
2736,16/09/2020,completed,1_4
2737,15/09/2020,completed,1_2
2736,12/9/2020,completed,1_8
1813,9/9/2020,completed,1_2
1813,7/9/2020,completed,1_4
1812,5/9/2020,completed,1_16
1854,2/9/2020,completed,1_4
2250,30/08/2020,completed,final
2250,30/08/2020,completed,1_2
2285,20/08/2020,completed,1_2
2760,16/08/2020,completed,1_2
2285,15/08/2020,completed,1_4
2760,12/8/2020,completed,1_4
2759,9/8/2020,completed,1_4
1600,3/8/2020,completed,1_2
1599,2/8/2020,completed,1_16
1635,1/8/2020,completed,1_2
1635,28/07/2020,completed,1_4
1634,26/07/2020,completed,1_32
2480,11/7/2020,completed,1_2
2479,7/7/2020,completed,1_4
2813,4/7/2020,completed,1_2
2813,3/7/2020,completed,1_4
2812,1/7/2020,completed,1_8
2851,31/01/2020,completed,1_2
2851,28/01/2020,completed,1_4
2851,28/01/2020,completed,1_8
2250,,completed,1_4
2851,,WO,1_16
1524,14/08/2020,completed,1_8
1524,10/8/2020,completed,1_16
1588,9/8/2020,completed,1_2
1588,8/8/2020,completed,1_4
1523,7/8/2020,completed,1_64
1588,5/8/2020,completed,1_8
1587,30/07/2020,completed,1_64
1588,,WO,1_16
1462,14/09/2020,completed,1_4
2349,31/08/2020,completed,1_16
2611,23/08/2020,completed,1_8
2284,17/08/2020,completed,1_4
2208,16/08/2020,completed,1_8
1634,24/07/2020,completed,1_32
2869,19/07/2020,completed,1_16
2865,18/07/2020,completed,1_16
2126,11/7/2020,completed,1_8
1743,5/7/2020,completed,1_16
2808,,completed,1_16
2869,,WO,1_8
2055,30/07/2020,completed,1_4
2055,26/07/2020,completed,1_8
2055,24/07/2020,completed,1_16
2257,26/08/2020,completed,1_8
2257,25/08/2020,completed,1_16
2902,28/02/2020,retirement,1_8
2929,26/02/2020,completed,1_8
2902,26/02/2020,completed,1_16
2929,25/02/2020,completed,1_16
2902,24/02/2020,completed,1_32
2938,27/12/2019,completed,1_8
2938,26/12/2019,completed,1_16
1708,12/7/2020,completed,1_32
1708,11/7/2020,completed,1_64
1708,,WO,1_16
2281,23/08/2020,completed,final
2281,22/08/2020,completed,1_2
2281,20/08/2020,completed,1_4
2380,16/08/2020,completed,final
2380,15/08/2020,completed,1_2
2380,13/08/2020,retirement,1_4
2123,16/07/2020,completed,1_4
2123,14/07/2020,completed,1_8
2122,13/07/2020,completed,1_16
2122,11/7/2020,completed,1_32
2123,10/7/2020,completed,1_16
2123,,WO,1_2
2521,6/9/2020,completed,1_4
2965,30/08/2020,completed,1_8
2287,23/08/2020,completed,final
2287,22/08/2020,completed,1_2
2287,17/08/2020,completed,1_4
1541,16/08/2020,completed,final
1541,8/8/2020,completed,1_4
2059,29/07/2020,completed,1_4
2098,24/07/2020,completed,1_4
2125,17/07/2020,completed,1_4
2129,15/07/2020,completed,1_8
2125,11/7/2020,completed,1_8
2129,11/7/2020,completed,1_16
2125,10/7/2020,completed,1_16
1933,4/7/2020,completed,1_8
2999,27/02/2020,completed,1_4
2999,23/02/2020,completed,1_8
1976,5/1/2020,completed,final
1976,4/1/2020,completed,1_2
1976,2/1/2020,completed,1_4
3018,22/12/2019,completed,1_16
1541,,WO,1_2
2276,23/08/2020,completed,final
2275,19/08/2020,completed,1_4
2276,16/08/2020,completed,1_2
2275,,WO,1_8
3009,28/02/2020,completed,1_2
3009,26/02/2020,completed,1_4
2972,2/9/2020,completed,1_2
2062,2/8/2020,retirement,final
2062,1/8/2020,completed,1_2
1861,,WO,1_2
2972,,WO,final
1717,17/07/2020,completed,1_4
1717,16/07/2020,WO,poule
1717,16/07/2020,completed,poule
1716,14/07/2020,completed,1_16
1716,13/07/2020,completed,1_32
2124,12/7/2020,completed,1_8
